Name,SoldPrice,AskPrice,Rooms,Size,MonthlyRent,YearlyRent,YearBuilt,Region,Kommun,Lat,Log
Vittangigatan 16 (Vån 4),1750000,1595000.0,1.0,34.0,2175.0,3270.0,1953.0,Vällingby Centrum,Stockholms,59.3627535,17.873010989422582
Sandgatan 7B,1575000,1550000.0,2.0,51.0,2569.0,,,Norrtälje,Norrtälje,59.766667,18.7
Sandgatan 7B,1395000,1395000.0,2.0,51.0,2719.0,3682.0,1965.0,Norrtälje,Norrtälje,59.766667,18.7
Kopparvägen 59,1675000,1675000.0,2.0,60.0,3942.0,,1961.0,Kallhäll,Järfälla,59.4522794,17.8072383
Kopparvägen 59,1750000,1750000.0,2.0,60.0,4139.0,,1961.0,Kallhäll,Järfälla,59.4522794,17.8072383
Kopparvägen 59,2030000,1750000.0,3.0,77.0,4982.0,624.0,1961.0,Kallhäll,Järfälla,59.4522794,17.8072383
Söderbytorpsgatan 18,1550000,1495000.0,2.0,42.0,3787.0,5400.0,1989.0,Vendelsö,Haninge,59.193059,18.189047
Bergakungsvägen 19,1750000,1695000.0,,59.0,5341.0,,1989.0,Utsälje,Huddinge,59.2293827,17.9748815
Kista Gårdsväg 18,1690000,1650000.0,1.0,33.0,1867.0,,2020.0,Kista,Stockholms,59.403311,17.9442849
Skäftingebacken 23,1600000,1395000.0,2.0,64.0,4525.0,,1969.0,Tensta,Stockholms,59.3957349,17.9032284
Ormingeringen 79,1695000,1695000.0,1.0,37.0,2823.0,4200.0,1970.0,Orminge,Nacka,59.3294558,18.2573234
Heimdalsgatan 50,1015000,995000.0,1.0,43.0,3224.0,5400.0,1969.0,Valsta,Sigtuna,59.6170229,17.8350314
Heimdalsgatan 50,1600000,1595000.0,4.0,84.0,5788.0,7381.0,1970.0,Valsta,Sigtuna,59.6170229,17.8350314
Heimdalsgatan 50,1275000,1195000.0,2.0,63.0,4472.0,10200.0,1969.0,Valsta,Sigtuna,59.6170229,17.8350314
Norrbackavägen 2,1700000,1595000.0,3.0,92.0,7671.0,5003.0,1990.0,Märsta,Sigtuna,59.6252383,17.8515672
Duvedsvägen 17 Bottenvåning (0158),1700000,1395000.0,,32.0,2304.0,,1955.0,Vällingby Centrum,Stockholms,59.3627535,17.873010989422582
Vendelsövägen 58A,1750000,1750000.0,1.0,28.0,1639.0,,2022.0,Tyresö,Tyresö,59.216667,18.333333
Vendelsövägen 58A,3500000,3500000.0,3.0,68.0,3140.0,,2022.0,Tyresö,Tyresö,59.216667,18.333333
Kvartärvägen 113,1540000,1195000.0,2.0,60.0,4579.0,,1983.0,Åbylund,Haninge,59.132036049999996,18.100379172784073
Huggarvägen 26,1556000,1395000.0,2.0,64.0,4776.0,2400.0,,Haninge,Haninge,59.049722,18.266667
Fiskarnas gata 156,1170000,995000.0,1.0,56.0,3424.0,,,Brandbergen,Haninge,59.1700044,18.1688215
Terapivägen 10c,800000,,2.0,68.0,6767.0,,,Huddinge,Huddinge,59.2293827,17.9748815
Sörgården 119,1750000,1795000.0,3.0,79.0,4945.0,6600.0,1969.0,Sörgården,Vallentuna,59.5359472,18.0665563
Huggarvägen 7,1600000,1495000.0,2.0,64.0,4776.0,3000.0,1972.0,Västerhaninge,Haninge,59.1221593,18.1085969
Sätunavägen 13C 1 tr,1660000,1495000.0,2.0,59.0,3505.0,4500.0,1964.0,Märsta,Sigtuna,59.6252383,17.8515672
Ulvsättragränd 10,1610000,1525000.0,1.0,34.0,2438.0,,2017.0,Kallhäll,Järfälla,59.4522794,17.8072383
Ulvsättragränd 10,1865000,1695000.0,2.0,47.0,3137.0,2748.0,2017.0,Kallhäll,Järfälla,59.4522794,17.8072383
Smedjevägen 9 2tr,1710000,1595000.0,3.0,74.0,4733.0,10728.0,1951.0,Rimbo,Norrtälje,59.7453192,18.3601765
Kusbyvägen 25 25tr,760000,795000.0,3.0,64.0,3362.0,,1957.0,Hallstavik,Norrtälje,60.0517603,18.5970171
Tvillingarnas Gata 313,1230000,1145000.0,1.0,27.0,2152.0,,,Brandbergen,Haninge,59.1700044,18.1688215
Lejonets Gata 368,1650000,1495000.0,2.0,69.0,4725.0,3276.0,1969.0,Brandbergen,Haninge,59.1700044,18.1688215
Floravägen 21,1550000,1495000.0,2.0,49.0,3783.0,3684.0,1993.0,Nynäshamn,Nynäshamn,58.9056457,17.9470987
